"Sygnatura czasowa","Jak często korzystasz ze sztucznej inteligencji?","Jak oceniasz wpływ sztucznej  inteligencji na twoje życie codzienne? (Jeśli nie korzystasz z narzędzi AI, pomiń to pytanie)","Do jakich celów używasz sztucznej inteligencji?","Twój obecny etap edukacji:","Czy obecnie jesteś zatrudniony/a lub wykonujesz pracę zarobkową?","Czy obecnie jesteś zatrudniony/-a lub wykonujesz pracę zarobkową?","Na jakim stanowisku pracujesz?","Jak oceniasz wpływ sztucznej inteligencji na twoją pracę?","Jeżeli wykorzystujesz AI w swojej pracy, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jakie są twoje największe obawy związane z wykorzystaniem sztucznej inteligencji w miejscu pracy?","Czy uważasz, że w przyszłości sztuczna inteligencja będzie w stanie zastąpić twoje aktualne stanowisko pracy?","Czym się zajmujesz zawodowo?","Jak oceniasz wpływ sztucznej inteligencji na twoją pracę?","Jeżeli wykorzystujesz AI w swojej pracy, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jakie są twoje największe objawy związane z wykorzystaniem sztucznej inteligencji w miejscu pracy?","Czy uważasz, że w przyszłości sztuczna inteligencja będzie w stanie zastąpić twoje aktualne stanowisko pracy?","Na jakim kierunku studiujesz? (Jeśli nie jesteś studentem/studentką, pomiń to pytanie)","Jak oceniasz wpływ sztucznej inteligencji na twoją edukację?","Jeśli korzystasz ze sztucznej inteligencji w edukacji, to w jakim celu? (Jeśli nie, pomiń to pytanie)","Jak oceniasz wpływ sztucznej inteligencji na twoje plany dotyczące przyszłego kierunku studiów/przyszłej kariery?","Czy obawiasz się, że sztuczna inteligencja może w przyszłości zastąpić twoją pracę lub karierę zawodową?","Czy uważasz, że korzystanie z AI w edukacji/pracy powinno być ograniczane lub kontrolowane przez szkoły/uczelnie/firmy?","Czy boisz się, że AI może negatywnie wpłynąć na jakość edukacji?","Czy uważasz, że zbyt częste korzystanie z AI może osłabiać kreatywność?","Czy uważasz, że jesteś w pewnym stopniu uzależniony/a od narzędzi opartych na sztucznej inteligencji?","Jeśli na poprzednie pytanie odpowiedziałeś/-aś twierdząco, czy chciał(a)byś ograniczyć korzystanie z narzędzi AI? (W przeciwnym przypadku pomiń to pytanie)","Czy brak dostępu do narzędzi AI utrudniłby Ci naukę, pracę lub codzienne zadania?","Jakie widzisz korzyści i zagrożenia związane z rozwojem sztucznej inteligencji?"
"2025/05/21 12:17:37 PM EEST","Więcej niż raz dziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Bioinformatyka","3","Pomoc w nauce i tłumaczeniu niezrozumiałych konceptów","3","2","3","5","5","4","4","3","Zmniejszenie umiejętnościsamodzielnego myślenia i rozpowszechnienie technologii oszustw
"
"2025/05/21 12:18:19 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Programowanie i analiza danych","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Mechatronika ","4","Pomocy ","3","2","2","4","5","3","2","4",""
"2025/05/21 12:18:20 PM EEST","Kilka razy w tygodniu","","Tłumaczenie treści","Szkoła średnia","Nie","","","","","","","","","","","","","4","","3","5","5","5","5","1","","1","Sztuczna inteligencja do prowadzi do osłabienia kreatywności i własnego myślenia."
"2025/05/21 12:20:16 PM EEST","Codziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Szkoła średnia","Nie","","","","","","","","","","","","","2","","2","5","5","5","5","5","5","3",""
"2025/05/21 12:20:25 PM EEST","Raz w miesiącu","2","Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Geodezja i Kartografia","1","Pisanie za mnie bardzo głupich prac na angielski","1","3","4","5","5","1","","1","Fałszowanie informacji na globalną skalę"
"2025/05/21 12:22:15 PM EEST","Więcej niż raz dziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Generowanie grafik / obrazów","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Biologia kryminalistyczna","5","Robienie notatek i odrabianie pracy domowej","5","1","1","3","4","5","3","4",""
"2025/05/21 12:25:19 PM EEST","Kilka razy w miesiącu","2","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Tak","","Barista","3","","Brak","1","","","","","","Kryminalistyka","2","","2","4","5","5","5","2","","3",""
"2025/05/21 12:25:59 PM EEST","Raz w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Szkoła średnia","Nie","","","","","","","","","","","","","4","W celach edukacyjnych ","4","2","3","4","5","1","","2","Uważam że jest ona przydatna i pomocna, lecz nie powinno się jej używać za często."
"2025/05/21 12:29:01 PM EEST","Więcej niż raz dziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Generowanie grafik / obrazów","Między szkołą średnią a studiami/szkołą wyższą","Nie","","","","","","","","","","","","","5","Pomaga wyjaśniać pewne pojęcia, niezrozumiałe treści, daje pomysły na rozpoczęcie zadania lub je wyjaśnia ","3","3","3","3","5","3","3","3","Zagrożenie to to, że ludzie za bardzo się do tego przywiążą i nic samodzielnie nie będą w stanie już zrobić. Korzyść jest taka, że może ona poprostu nam w wielu rzeczach pomóc, wyjaśnić, pomóc coś stworzyć. Trzeba w tym zachować zdrowy rozsądek. "
"2025/05/21 12:29:11 PM EEST","Nigdy","","Nie korzystam z AI","Między szkołą średnią a studiami/szkołą wyższą","Nie","","","","","","","","","","","","","3","","3","3","4","4","4","1","","1","+szybkie wyszukiwanie potrzebnych informacji, oszczędność czasu
- brak wiarygodnych źródeł w pracach, powielanie fałszywych informacji "
"2025/05/21 12:29:15 PM EEST","Raz w miesiącu","2","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Studia/Szkoła wyższa","Tak","","Sprzedawca","3","","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Zmniejszenie znaczenia kompetencji pracownika","4","","","","","","Psychologia","4","Pomoc w szybszym wykonywaniu mozolnych zadań, które zabierają mi czas na faktyczną naukę ","5","2","4","5","5","1","","2",""
"2025/05/21 12:30:26 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Wsparcie w podejmowaniu decyzji","Szkoła średnia","Nie","","","","","","","","","","","","","4","Pomoc w zadaniach domowych , zadaniach na lekcji , pisanie tekstów , pomoc w pisaniu długich wypowiedzi ","4","1","3","5","5","3","3","2","Zbyt częste zwracanie się do sztucznej inteligencji  mogące zaowocować utratą samodzielności w podejmowaniu decyzji , pisaniu i nauce ale pomaga to też często w nauce może sprawić że ta nauka jest bardziej efektywną zdecydownie usprawnia też szukanie informacji na różne tematy ponieważ odrazu daje wszystkie informacje bez konieczności spędzania dużej ilości czasu na szukaniu "
"2025/05/21 12:30:44 PM EEST","Raz w miesiącu","1","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Szkoła średnia","Tak","","Kasjerka","2","","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych","4","","","","","","","2","streszczenie treści ","2","4","4","4","5","1","","3","mniejszy rynek pracy"
"2025/05/21 12:31:12 PM EEST","Codziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Programowanie i analiza danych;Generowanie grafik / obrazów;Wsparcie w podejmowaniu decyzji","Zakończyłem/-am swoją edukację","","Nie","","","","","","","","","","","","","","","","3","3","5","5","2","4","Tak jak z każdą rewolucją przemysłową:
Plusy - Automatyzacja, obniżenie kosztów produktów, szybszy rozwój
Minusy - zastąpienie części funkcji poznawczych na nowe narzędzie"
"2025/05/21 12:31:33 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Między szkołą średnią a studiami/szkołą wyższą","Nie","","","","","","","","","","","","","3","","2","4","2","3","4","1","","2",""
"2025/05/21 12:31:46 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Programowanie i analiza danych","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Biofizyka molekularna","3","W celu ułatwienia nauki","3","1","4","5","5","3","2","4","Ogłupienie społeczeństwa "
"2025/05/21 12:33:20 PM EEST","Codziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Wsparcie w podejmowaniu decyzji","Między szkołą średnią a studiami/szkołą wyższą","Nie","","","","","","","","","","","","","4","Przygotowywanie wzorcowych odpowiedzi, aby lepiej pojąć oczekiwaną strukturę, ale również streszczanie tekstów z dodaniem tła historycznego","3","2","3","4","4","2","3","2","Praca jest z pewnością szybsza, a efekt często jest lepszy niż zadowalający i wciąż błędy są udoskonalane. Człowiek jednak rozleniwia się i często jego myślenie jest uzależnione od AU"
"2025/05/21 12:36:53 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Studia/Szkoła wyższa","Tak","","Dostawca pysznych rzemieślniczych lodów good lood","1","","Brak","1","","","","","","W 1 wojnie światowej turystyka była ","3","Na egzaminach i do prezentacji ","4","2","1","4","3","1","","3",""
"2025/05/21 12:38:53 PM EEST","Więcej niż raz dziennie","5","Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Wsparcie w podejmowaniu decyzji","Zakończyłem/-am swoją edukację","","Tak","","","","","","Opracowywanie i realizacja projektów B+R","5","opracowywanie projektów B+R, analiza danych z badań","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych","3","","","","","","1","5","5","5","4","5","halucynacje AI, powoływanie się na nieprawdziwe dane i źródła"
"2025/05/21 12:39:13 PM EEST","Codziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Szkoła średnia","Nie","","","","","","","","","","","","","4","w calu nauki ","4","3","3","3","4","2","2","2",""
"2025/05/21 12:39:27 PM EEST","Więcej niż raz dziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Programowanie i analiza danych;Generowanie grafik / obrazów;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Tak","","instruktor robotyki","3","","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Zmniejszenie znaczenia kompetencji pracownika;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","2","","","","","","bioinformatyka","4","tłumaczenie zagadnień, pomoc w pisaniu programów, wymyślanie pomysłów na projekty","3","3","3","4","4","4","4","5",""
"2025/05/21 12:39:56 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Generowanie grafik / obrazów","Szkoła średnia","Nie","","","","","","","","","","","","","3","Nauka","2","4","2","3","4","2","3","3","Na spokojnie "
"2025/05/21 12:44:17 PM EEST","Nigdy","","Nie korzystam z AI","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Region karpacki: etnolingwistyka i studia kulturowe (językoznawstwo, kulturoznawstwo, religioznawstwo; interdyscyplinarne)","2","","3","4","5","5","5","1","","1","Zagrożenia to trudność w rozróżnieniu prawdziwego zdjęcia/filmiku od sfałszowanego "
"2025/05/21 12:45:28 PM EEST","Codziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Programowanie i analiza danych;Generowanie grafik / obrazów;Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","biofizyka","5","więcej informacji","5","5","1","1","2","1","1","5",""
"2025/05/21 12:54:53 PM EEST","Codziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Szkoła średnia","Nie","","","","","","","","","","","","","5","Pomoc w zadaniach i pracach ","5","3","3","5","5","5","3","5","Korzysci to ułatwianie codziennosci, a zagrożenia to brak używania wlasnego mozgu"
"2025/05/21 12:55:05 PM EEST","Kilka razy w tygodniu","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści","Szkoła średnia","Nie","","","","","","","","","","","","","5","Wykonanie zadań, wyjaśnienie niezrozumiałych zagadnień, napisanie programów informatycznych","4","4","3","3","4","2","","4","Korzyści - Ułatwienie zrozumienia zagadnień i szybka dostępność do informacji
Zagrożenie - pozbawienie samodzielności i ograniczenie kreatywności "
"2025/05/21 12:58:09 PM EEST","Raz w miesiącu","3","Rozrywka (np. chatboty, gry)","Między szkołą średnią a studiami/szkołą wyższą","Nie","","","","","","","","","","","","","3","","3","3","5","5","5","1","","1",""
"2025/05/21 12:58:55 PM EEST","Więcej niż raz dziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Programowanie i analiza danych;Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Informatyka stosowana","2","Pomoc w rozwiazywaniu zadan/tworzeniu projektow","1","5","1","5","5","4","4","4",""
"2025/05/21 12:59:00 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści;Generowanie grafik / obrazów;Rozrywka (np. chatboty, gry)","Szkoła średnia","Nie","","","","","","","","","","","","","4","nauka , rozrywka","1","4","3","3","4","2","3","4","ułatwienie "
"2025/05/21 1:04:17 PM EEST","Raz w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Tak","","Magazynier","3","","Utrata pracy;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","2","","","","","","Prawo","4","Streszczenie artykułów naukowych, wyjaśnianie zagadnień","3","1","4","5","5","4","4","1","Zagrożenia: Generowanie wypowiedzi czy zachowań podkładając czyjś głos lub sylwetkę, co z czasem będzie wyglądać coraz bardziej realistycznie i będzie można zarzucić komuś, że zrobił/powiedział coś złego, co nie musi być prawdą
Korzyści: szybsze wykonywanie pracy"
"2025/05/21 1:06:47 PM EEST","Więcej niż raz dziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Lekarski","4","Tłumaczenie zagadnień medycznych, przekształcanie na prostszy język, pomoc w rozwiązywaniu zadań abcd","3","5","2","4","5","4","2","4","Korzyści- dokształcanie, szybsza, łatwiejsza nauka, zagrożenia- gromadzenie danych osobowych"
"2025/05/21 1:07:12 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Między szkołą średnią a studiami/szkołą wyższą","Nie","","","","","","","","","","","","","5","wyjaśnianie zadań","3","1","1","5","4","1","1","5",""
"2025/05/21 1:08:26 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści;Generowanie grafik / obrazów;AI działa dziś często jak przeglądarka - wyszukuje informacje na dany temat podobnie jak google, ale szybciej ","Zakończyłem/-am swoją edukację","","Tak","","","","","","Nauczyciel","3","Pomoc w szukaniu danych do prezentacji, wykładu, szukanie dokładnych cytatów i ich źródeł. ""Trochę taki google na sterydach"". Obróbka zdjęć. ","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Etyczne wykorzystanie sztucznej inteligencji;Zmienimy się w lud idotów nie zdolnych do myślenia.","1","","","","","","3","5","4","1","","2","+ ułatwienie pracy 
- ludzie przestaną sami myśleć 
- uzależnimy się od tego "
"2025/05/21 1:09:42 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści;Programowanie i analiza danych","Studia/Szkoła wyższa","Tak","","praca dorywcza","3","","Brak","1","","","","","","biotechnologia ","4","nauka, analiza tekstów, tłumaczenie tekstów ","4","1","3","2","4","2","2","4","oszczędność czasu "
"2025/05/21 1:12:38 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści","Między szkołą średnią a studiami/szkołą wyższą","Tak","","Sprzedawca ","3","","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Zmniejszenie znaczenia kompetencji pracownika","3","","","","","","Kultury mediów ","3","","2","4","2","4","5","5","3","3",""
"2025/05/21 1:14:01 PM EEST","Więcej niż raz dziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Szkoła średnia","Nie","","","","","","","","","","","","","3","","3","1","2","4","4","3","2","4",""
"2025/05/21 1:15:35 PM EEST","Więcej niż raz dziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Programowanie i analiza danych;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","bioinformatyka","3","pomoc w programowaniu, wyjaśnianie zagadnień ","2","4","3","5","5","4","","4","korzyści - przyspieszanie pracy
zagrożenia - zmniejszanie kreatywności,  "
"2025/05/21 1:16:25 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Logistyka ","5","Oby skrócić czas pisania notatek i przygotowywania się na kolokwia ","3","1","2","3","4","4","2","5","Korzyści to zaoszczędzenie energii na rzeczy, które są proste ale długo trwają 
Zagrożenia to np gdy zbyt młode osoby uzależnią się o AI mogą być mniej samowystarczalne w czasie kryzysu"
"2025/05/21 1:18:46 PM EEST","Kilka razy w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Tłumaczenie treści","Studia/Szkoła wyższa","Tak","","pracowniczka śniadaniowni","3","","Brak","2","","","","","","gospodarka przestrzenna","4","zbieranie i opracowywanie danych, pomoc w opisie projektów","3","4","3","4","4","4","3","4",""
"2025/05/21 1:18:53 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Psychiologia ","4","Chat tłumaczy mi pojęcia, albo proszę go o wygenerowanie zadań do poćwiczenia materiału który obecnie przerabiam ","3","1","4","5","5","2","","3","korzyści to serio pomocne narzędzie wykonawcze, które zredukuje powtarzalną pracę ludzką dając przestrzeń na kreatywność, jednocześnie gro ludzi potrzebuję tych karier na niższych szczeblach aby się utrzymać. Tak samo, ai powinno np. Pomagać nam robić pranie, żebyśmy mieli czas na sztukę, tymczasem ai robi Nam sztukę, która jest nisko jakościowa a my stajemy się coraz bardziej leniwi "
"2025/05/21 1:19:47 PM EEST","Kilka razy w tygodniu","4","Pisanie tekstów (np. e-maili, prac, wpisów);Programowanie i analiza danych;Generowanie grafik / obrazów","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Automatyka i Robotyka ","4","Pomoc w programowaniu i parafrazowaniu tekstów","3","2","2","4","5","2","","4",""
"2025/05/21 1:21:58 PM EEST","Więcej niż raz dziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Lekarski","4","W celu zrozumienia poszczególnych zagadnień, bądź jeżeli chce szybko znaleść jakieś informacje ","3","1","2","3","4","3","","4","Korzyści to szybkie znajdowanie potrzebnych treści, pomoc w nauce. Zagrożenia to spadek kreatywności i chodzenie na łatwiznę, jeżeli chodzi o pisanie np prac lub maili."
"2025/05/21 1:22:22 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Generowanie grafik / obrazów","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","lekarski","4","Streszczanie zagadnien na przedmioty typu biochemia","4","2","3","5","5","2","","4",""
"2025/05/21 1:25:35 PM EEST","Codziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Między szkołą średnią a studiami/szkołą wyższą","Nie","","","","","","","","","","","","","4","szukanie informacji i ich zbieranie w jednym miejscu","3","3","4","3","4","2","","2",""
"2025/05/21 1:26:07 PM EEST","Kilka razy w tygodniu","2","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Rozrywka (np. chatboty, gry);poprawa napisanego tekstu na bardziej elokwentny ","Szkoła średnia","Nie","","","","","","","","","","","","","3","szybkie opracowanie danego zagadnienia","2","5","5","5","5","4","5","2","Korzyści to zdecydowanie przyśpieszenie tempa pracy - wszystko jest wyświetlone w pigułce, więc nie trzeba tracić czasu na długi i czasami bezowocny research. Z drugiej jednak strony podane informacje często są oparte na błędnych danych z sieci, poza tym AI jednak przyczynia się też do niszczenia środowiska. Oczywiście ludzie są również zastępowani przez AI, bądź płaci się im mniej za wykonaną pracę, przez co duża ilość zawodów jest zagrożona. "
"2025/05/21 1:26:50 PM EEST","Kilka razy w tygodniu","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Generowanie grafik / obrazów","Studia/Szkoła wyższa","Tak","","Lektor językowy","4","Tworzenie zadań na zajęcia","Utrata pracy","3","","","","","","Filologia hiszpańska","5","Robienie zadań na tzw zapychacze ","5","3","1","2","3","1","1","3","Korzyści: zaoszczędzenie czasu "
"2025/05/21 1:27:16 PM EEST","Raz w tygodniu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Wsparcie w podejmowaniu decyzji","Między szkołą średnią a studiami/szkołą wyższą","Nie","","","","","","","","","","","","","3","","3","4","4","4","5","2","","2",""
"2025/05/21 1:27:18 PM EEST","Więcej niż raz dziennie","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Generowanie grafik / obrazów;Rozrywka (np. chatboty, gry)","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","lekarski","5","streszczanie artykułów I prezentacji, przygotowanie podsumowania tematu, generowanie na podstawie przesłanych materiałów pytań sprawdzających moją wiedzą ","3","2","4","5","5","2","","5",""
"2025/05/21 1:27:18 PM EEST","Kilka razy w tygodniu","5","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów);Programowanie i analiza danych;Generowanie grafik / obrazów;Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Tak","","Laboratorium R&D","5","Analiza danych ","Poleganie na sztucznej inteligencji podczas wykonywania obowiązków służbowych;Etyczne wykorzystanie sztucznej inteligencji;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję","1","","","","","","Automatyka i robotyka ","5","Szukanie treści, pomoc w rozwiązywaniu zadań ","5","1","1","5","1","4","1","5","Jedyne zagrożenie jakie widzę na dzień dzisiejszy to brak kontroli nad treściami które generowane są za pomocą ai a treściami oryginalnymi "
"2025/05/21 1:31:25 PM EEST","Kilka razy w miesiącu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia)","Studia/Szkoła wyższa","Tak","","Korepetytor ","2","","Zmniejszenie znaczenia kompetencji pracownika;Brak kontroli nad ważnymi decyzjami podejmowanymi przez sztuczną inteligencję;Zastąpienie kreatywnych pomysłów człowieka (np. grafika) wygenerowanymi przez AI","2","","","","","","biologia kryminalistyczna ","3","Najczęściej w celu rozwinięcia zagadnień na egzaminy/kolokwia","3","2","4","5","5","2","","4","Głównie widzę zagrożenia : zwolnienia z pracy, ""odczłowieczenie"" sztuki, wizja niemożności zapanowania nad rozwojem AI"
"2025/05/21 1:35:53 PM EEST","Kilka razy w tygodniu","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Rozrywka (np. chatboty, gry);Wsparcie w podejmowaniu decyzji","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Prawo","4","Wyjaśnianie zagadnień ","4","2","2","3","4","2","","3","Korzyści:
- łatwiejszy dostęp do informacji
- możliwość inspiracji
- szybsze wykonywanie zadań w pracy
- rozrywka 
Zagrożenia:
- ludzkość nie wykorzystuje większości wynalazków w sposób należyty, można spodziewać się, że tak samo będzie w przypadku AI
- utrata miejsc pracy dla części społeczeństwa 
- brak należytej weryfikacji informacji
- uzależnienie pewnych sektorów gospodarki od AI przy nieodpowiednim obchodzeniu się z tą technologią
"
"2025/05/21 1:36:20 PM EEST","Codziennie","4","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","lekarski","5","Tłumaczenie zagadnień","4","1","3","4","5","2","","3","Najbardziej przerażającym zagrożeniem wydaje mi się łatwość generowania zdjec/filmików i idącą za tym dezinformacja w sieci. Poza tym wpływ na środowisko. U osób na wczesnych etapach edukacji (np podstawowka) negatywny wpływ na edukacje, brak samodzielnej pracy etc. 
Przy umiejętnym korzystaniu jest dużo zalet AI, wyeliminowanie potrzeby wykonywania powtarzalnych zadań takich jak np edycja tekstu, łatwość w wyszukiwaniu odpowiedzi na złożone pytania, możliwość wytłumaczenia danego zagadnienia krok po kroku "
"2025/05/21 1:41:22 PM EEST","Nigdy","","Nie korzystam z AI","Zakończyłem/-am swoją edukację","","Nie","","","","","","","","","","","","","","","","5","5","5","1","","2",""
"2025/05/21 1:41:27 PM EEST","Codziennie","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Szkoła średnia","Tak","","Lodziarnia ","3","","Brak","1","","","","","","","3","Pomoce naukowe ","3","1","4","4","4","3","4","2","Że ludzie korzystający nadmiernie z AI mogą po dłuższym czasie nie umieć radzić sobie bez sztucznej inteligencji "
"2025/05/21 1:42:15 PM EEST","Kilka razy w miesiącu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Pisanie tekstów (np. e-maili, prac, wpisów)","Zakończyłem/-am swoją edukację","","Nie","","","","","","","","","","","","","","","","4","5","5","1","","2",""
"2025/05/21 1:51:01 PM EEST","Kilka razy w miesiącu","3","Pomoc w nauce (np. wyjaśnianie zagadnień, streszczenia);Tłumaczenie treści","Studia/Szkoła wyższa","Nie","","","","","","","","","","","","Filologia Hiszpańska","3","tłumaczenie, sprawdzenie wypracowań i poprawnych odpowiedzi ","1","5","5","5","5","1","","1",""
"2025/05/21 1:57:00 PM EEST","Kilka razy w miesiącu","3","szukanie danych, research, przyspiesza pracę w tym zakresie ","Zakończyłem/-am swoją edukację","","Nie","","","","","","","","","","","","","","","","1","5","5","1","","2","Zagrożenie: poleganie na outpucie z AI (halucynacje, brak w feedzie reprezentowania optyki osób z mniejszości, stereotypy, etc) w podejmowaniu decyzji przez decydentów w ważnych obszarach (życie publiczne, polityka etc). "
